source,destination,diluent_volume,dna_volume
A1,A1,90,10
B1,B1,90,10
C1,C1,90,10
D1,D1,90,10
E1,E1,90,10
F1,F1,90,10
G1,G1,90,10
H1,H1,90,10
A2,A2,90,10
B2,B2,90,10
C2,C2,90,10
D2,D2,90,10
E2,E2,90,10
F2,F2,90,10
G2,G2,90,10
H2,H2,90,10
A3,A3,90,10
B3,B3,90,10
C3,C3,90,10
D3,D3,90,10
E3,E3,90,10
F3,F3,90,10
G3,G3,90,10
H3,H3,90,10
A4,A4,90,10
B4,B4,90,10
C4,C4,90,10
D4,D4,90,10
E4,E4,90,10
F4,F4,90,10
G4,G4,90,10
H4,H4,90,10
A5,A5,90,10
B5,B5,90,10
C5,C5,90,10
D5,D5,90,10
E5,E5,90,10
F5,F5,90,10
G5,G5,90,10
H5,H5,90,10
A6,A6,90,10
B6,B6,90,10
C6,C6,90,10
D6,D6,90,10
E6,E6,90,10
F6,F6,90,10
G6,G6,90,10
H6,H6,90,10
A7,A7,90,10
B7,B7,90,10
C7,C7,90,10
D7,D7,90,10
E7,E7,90,10
F7,F7,90,10
G7,G7,90,10
H7,H7,90,10
A8,A8,90,10
B8,B8,90,10
C8,C8,90,10
D8,D8,90,10
E8,E8,90,10
F8,F8,90,10
G8,G8,90,10
H8,H8,90,10
A9,A9,90,10
B9,B9,90,10
C9,C9,90,10
D9,D9,90,10
E9,E9,90,10
F9,F9,90,10
G9,G9,90,10
H9,H9,90,10
A10,A10,90,10
B10,B10,90,10
C10,C10,90,10
D10,D10,90,10
E10,E10,90,10
F10,F10,90,10
G10,G10,90,10
H10,H10,90,10
A11,A11,90,10
B11,B11,90,10
C11,C11,90,10
D11,D11,90,10
E11,E11,90,10
F11,F11,90,10
G11,G11,90,10
H11,H11,90,10
A12,A12,90,10
B12,B12,90,10
C12,C12,90,10
D12,D12,90,10
E12,E12,90,10
F12,F12,90,10
G12,G12,90,10
H12,H12,90,10
