source_wells,dest_wells,dil_volumes,dna_volumes
A1,B1,100,10
A2,B2,200,20
A3,B3,150,15
A4,B4,250,25
A5,B5,300,30
A6,B6,350,35
A7,B7,400,40
A8,B8,450,45
A9,B9,500,50
A10,B10,550,55
A11,B11,600,60
A12,B12,650,65
B1,C1,100,10
B2,C2,200,20
B3,C3,150,15
B4,C4,250,25
B5,C5,300,30
B6,C6,350,35
B7,C7,400,40
B8,C8,450,45
B9,C9,500,50
B10,C10,550,55
B11,C11,600,60
B12,C12,650,65
C1,D1,100,10
C2,D2,200,20
C3,D3,150,15
C4,D4,250,25
C5,D5,300,30
C6,D6,350,35
C7,D7,400,40
C8,D8,450,45
C9,D9,500,50
C10,D10,550,55
C11,D11,600,60
C12,D12,650,65
D1,E1,100,10
D2,E2,200,20
D3,E3,150,15
D4,E4,250,25
D5,E5,300,30
D6,E6,350,35
D7,E7,400,40
D8,E8,450,45
D9,E9,500,50
D10,E10,550,55
D11,E11,600,60
D12,E12,650,65
E1,F1,100,10
E2,F2,200,20
E3,F3,150,15
E4,F4,250,25
E5,F5,300,30
E6,F6,350,35
E7,F7,400,40
E8,F8,450,45
E9,F9,500,50
E10,F10,550,55
E11,F11,600,60
E12,F12,650,65
F1,G1,100,10
F2,G2,200,20
F3,G3,150,15
F4,G4,250,25
F5,G5,300,30
F6,G6,350,35
F7,G7,400,40
F8,G8,450,45
F9,G9,500,50
F10,G10,550,55
F11,G11,600,60
F12,G12,650,65
G1,H1,100,10
G2,H2,200,20
G3,H3,150,15
G4,H4,250,25
G5,H5,300,30
G6,H6,350,35
G7,H7,400,40
G8,H8,450,45
G9,H9,500,50
G10,H10,550,55
G11,H11,600,60
G12,H12,650,65
G6,H6,350,35
G7,H7,400,40
G8,H8,450,45
G9,H9,500,50
G10,H10,550,55
G11,H11,600,60
G12,H12,650,65
G8,H8,450,45
G9,H9,500,50
G10,H10,550,55
G11,H11,600,60
G12,H12,650,65
G6,H6,350,35
G7,H7,400,40
G8,H8,450,45
G9,H9,500,50
G10,H10,550,55
G11,H11,600,60
G12,H12,650,65
